                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7258,                 2.4943,                 1.9075,                0.46132,                0.23411,                0.16552,                0.06259,                 2.2152,                 3.7208,                 2.9197,               0.000414,               0.000414,               0.000414
                      2,                 1.8633,                 2.2661,                 2.1076,                0.39475,                0.13012,                0.11269,                0.04452,                 2.5883,                 3.4251,                 3.0068,             0.00082244,             0.00082244,             0.00082244
                      3,                 1.9859,                 2.3171,                 2.1833,                0.86341,                0.11017,                0.11344,                0.04401,                 2.1409,                 3.5423,                 2.4955,              0.0012226,              0.0012226,              0.0012226
                      4,                 1.9382,                 2.2758,                 2.1475,                0.56273,                0.14282,                0.13697,                0.04661,                 2.3099,                 2.8366,                 2.5711,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.9189,                  2.114,                  2.091,                0.79156,                0.20063,                0.18217,                0.07655,                 1.9958,                  2.339,                 2.2754,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.8751,                 2.1046,                 2.0709,                0.55075,                 0.2133,                0.21016,                0.09212,                  1.949,                 2.1339,                 2.2207,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.8302,                 2.0205,                 2.0112,                0.81776,                0.16391,                0.20505,                0.08395,                 1.9869,                 2.1513,                 2.2403,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.8133,                 1.9804,                 1.9851,                0.46916,                0.24991,                0.22715,                0.09645,                 1.8566,                 2.1976,                 2.0786,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.8002,                 1.9439,                 1.9592,                0.49537,                0.26434,                0.24788,                0.10498,                 1.8292,                 1.9022,                 2.0648,               0.001151,               0.001151,               0.001151
                     10,                 1.7432,                 1.9096,                 1.9477,                0.53329,                 0.2329,                0.24235,                0.10468,                 1.9204,                 2.0148,                 2.1788,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.7101,                 1.8057,                 1.8832,                0.78929,                0.22753,                0.25111,                0.11502,                 1.8069,                 1.8174,                 2.0378,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.6788,                 1.7626,                 1.8747,                0.76643,                  0.264,                0.26743,                0.14016,                 1.6923,                 1.8933,                 1.9673,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.6751,                 1.8056,                 1.8912,                0.62668,                0.23744,                0.25613,                0.11969,                 1.7847,                  1.866,                 2.0017,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.6418,                 1.7904,                 1.8476,                0.60537,                0.25036,                0.26949,                0.13288,                 1.6803,                 1.7607,                 1.9051,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.6589,                 1.7033,                 1.8402,                0.55352,                0.25125,                0.26102,                0.14119,                 1.6703,                 1.7881,                 1.9015,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.6298,                 1.6991,                 1.8395,                0.55425,                0.26066,                0.26848,                0.12931,                 1.7073,                 1.7589,                 1.9569,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.5796,                 1.6379,                 1.8023,                0.56775,                 0.3083,                0.30265,                0.14492,                 1.6972,                 1.6802,                 1.9175,               0.001052,               0.001052,               0.001052
                     18,                  1.591,                 1.6271,                 1.8082,                 0.6085,                 0.3255,                0.30451,                0.14937,                 1.6563,                 1.6663,                 1.9318,              0.0010396,              0.0010396,              0.0010396
                     19,                  1.571,                 1.6262,                 1.7918,                0.55305,                0.26979,                0.28565,                0.14221,                 1.6802,                 1.6295,                 1.9186,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.5471,                 1.5961,                 1.7469,                0.58147,                0.32616,                0.30308,                0.15764,                 1.6958,                 1.6596,                 1.9096,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.5154,                 1.5329,                 1.7375,                0.61118,                0.32016,                0.31126,                0.16126,                 1.6851,                 1.5684,                 1.9062,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.5124,                 1.5061,                 1.7456,                0.59323,                0.35611,                0.32047,                0.15574,                 1.6425,                 1.5973,                 1.8776,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.4903,                 1.5031,                 1.7113,                0.75197,                0.30968,                0.30797,                0.16483,                  1.553,                  1.622,                 1.7872,             0.00097775,             0.00097775,             0.00097775
                     24,                  1.476,                 1.5099,                 1.7025,                0.38248,                0.31986,                0.31377,                0.16394,                 1.6095,                  1.531,                 1.8744,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.4583,                 1.4581,                 1.6879,                0.59877,                0.33516,                0.33577,                0.18625,                 1.5574,                  1.573,                 1.7802,               0.000953,               0.000953,               0.000953
                     26,                 1.4216,                 1.4261,                 1.6685,                0.47659,                0.32564,                0.36489,                0.19386,                 1.5828,                 1.4377,                 1.7994,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.4359,                 1.3981,                 1.6893,                0.60376,                0.35496,                0.34962,                0.17928,                 1.6349,                 1.5482,                 1.8718,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.4569,                 1.3968,                 1.6763,                0.35973,                0.32974,                0.34254,                0.18292,                 1.5821,                 1.4379,                 1.8019,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.4227,                 1.3843,                 1.6736,                0.39915,                0.31379,                0.34159,                0.17461,                 1.6079,                 1.6024,                 1.8241,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.4148,                 1.3682,                 1.6497,                0.66058,                 0.3238,                0.36388,                0.18372,                 1.6117,                 1.5243,                 1.8832,             0.00089112,             0.00089112,             0.00089112
                     31,                  1.393,                 1.3524,                 1.6588,                0.31416,                0.34479,                0.33439,                0.18189,                  1.538,                  1.492,                 1.7656,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.3864,                 1.3187,                 1.6505,                0.43185,                0.35208,                0.36887,                0.19041,                 1.5777,                  1.395,                 1.8194,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.3679,                 1.2839,                   1.61,                0.36019,                0.46018,                0.37974,                0.18909,                  1.557,                 1.4709,                 1.7744,               0.000854,               0.000854,               0.000854
                     34,                 1.3505,                 1.2842,                 1.5929,                0.37408,                0.36751,                0.34157,                0.18168,                 1.5768,                 1.4582,                  1.853,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.3529,                 1.3272,                 1.6502,                0.59476,                0.34827,                0.35224,                 0.1764,                 1.6087,                  1.465,                 1.8374,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.3179,                 1.2687,                 1.5912,                0.65325,                0.35681,                0.37754,                0.20558,                 1.5384,                 1.3857,                 1.8008,             0.00081688,             0.00081688,             0.00081688
                     37,                  1.311,                 1.2647,                 1.5868,                 0.4546,                 0.3832,                0.37722,                0.19878,                  1.552,                 1.4041,                 1.8015,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.3225,                 1.2338,                 1.5768,                0.39379,                0.36709,                 0.3814,                0.19507,                 1.5715,                 1.3745,                 1.8155,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.3193,                 1.2221,                 1.5793,                 0.5358,                0.38246,                0.39145,                0.20444,                 1.5731,                 1.3655,                 1.8138,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.2985,                 1.2068,                 1.5451,                 0.3612,                0.43692,                0.35941,                0.19321,                 1.5285,                 1.3132,                 1.7599,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.2976,                 1.1597,                 1.5556,                0.45323,                0.48604,                0.42879,                0.22103,                 1.4858,                 1.2569,                 1.7533,               0.000755,               0.000755,               0.000755
                     42,                 1.2631,                 1.1826,                 1.5365,                 0.4373,                0.35766,                0.38459,                0.21217,                 1.5273,                 1.2772,                 1.7594,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.2432,                  1.116,                  1.518,                0.56153,                0.42077,                0.43354,                0.22813,                 1.5169,                  1.244,                 1.7566,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.2275,                 1.1022,                 1.5163,                0.53185,                0.43768,                0.42748,                0.22376,                 1.5209,                 1.2616,                 1.7603,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.2309,                  1.097,                 1.4997,                0.69854,                0.38573,                 0.4355,                0.22589,                 1.5457,                 1.2515,                 1.7584,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.2331,                 1.0937,                 1.5298,                0.51645,                0.41548,                0.42504,                0.22571,                 1.5061,                 1.2692,                 1.7141,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.2049,                 1.0577,                 1.4838,                0.47961,                0.39489,                0.39825,                0.20588,                 1.5275,                 1.2676,                 1.7896,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.2287,                 1.1017,                 1.5094,                0.41927,                0.37908,                0.39452,                0.21368,                 1.5783,                  1.327,                 1.8001,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.2074,                 1.0955,                  1.482,                0.42969,                0.42341,                0.41351,                0.21988,                 1.5062,                 1.2711,                 1.7536,               0.000656,               0.000656,               0.000656
                     50,                 1.1775,                  1.077,                 1.4701,                0.48154,                 0.4498,                0.41902,                0.21892,                 1.5001,                 1.2716,                 1.7249,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.1543,                 1.0233,                 1.4655,                0.44383,                0.45943,                0.45435,                 0.2343,                 1.4986,                  1.208,                 1.7598,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.1463,                 1.0111,                 1.4494,                0.54277,                0.41025,                0.45323,                0.22891,                 1.5135,                 1.2209,                 1.7668,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.1362,                0.98989,                 1.4292,                0.64934,                0.38701,                0.41744,                0.22275,                 1.4858,                 1.2574,                 1.7252,              0.0006065,              0.0006065,              0.0006065
                     54,                  1.135,                 1.0058,                  1.441,                0.46779,                0.44827,                0.43741,                0.21111,                 1.5485,                  1.292,                 1.7823,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.1205,                0.97716,                 1.4276,                0.46629,                0.40288,                0.42022,                0.22513,                 1.4972,                 1.2225,                 1.7505,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.1334,                0.99405,                 1.4105,                0.45703,                 0.4316,                0.43658,                0.22823,                 1.5091,                 1.2339,                 1.7524,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.1185,                0.94144,                 1.4037,                0.50665,                0.39553,                0.42273,                0.23435,                 1.4827,                 1.2936,                 1.7413,               0.000557,               0.000557,               0.000557
                     58,                 1.0924,                0.93075,                 1.3797,                0.67071,                0.43563,                0.44715,                0.23449,                 1.4701,                 1.2276,                 1.7346,             0.00054463,             0.00054463,             0.00054463
                     59,                  1.107,                0.91194,                 1.4074,                 0.4445,                0.45262,                0.41973,                0.22056,                  1.511,                 1.2142,                 1.7751,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.0991,                0.92333,                 1.4069,                0.50158,                0.43008,                0.44507,                0.23278,                 1.4956,                 1.2183,                 1.7494,             0.00051988,             0.00051988,             0.00051988
                     61,                  1.065,                0.89709,                 1.3621,                0.51207,                0.45639,                0.46976,                0.24009,                 1.5062,                 1.2163,                 1.7676,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0815,                0.90992,                 1.3698,                0.42844,                0.43291,                0.39608,                0.22336,                 1.4949,                 1.2571,                 1.7603,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0374,                0.87902,                 1.3639,                0.48882,                0.45951,                0.45951,                 0.2363,                 1.4966,                 1.2735,                 1.7578,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.0599,                0.88504,                 1.3576,                0.51637,                0.45624,                0.44155,                0.24058,                 1.5222,                 1.2436,                 1.7619,             0.00047038,             0.00047038,             0.00047038
                     65,                  1.032,                0.85971,                 1.3531,                0.62095,                 0.4107,                0.44888,                0.24257,                 1.4851,                   1.24,                 1.7742,               0.000458,               0.000458,               0.000458
                     66,                  1.022,                0.86851,                 1.3284,                0.47984,                0.44315,                0.45034,                0.24339,                 1.5294,                 1.2555,                 1.7921,             0.00044563,             0.00044563,             0.00044563
                     67,                0.98744,                0.81278,                 1.3159,                0.56591,                0.41879,                0.44379,                0.24342,                 1.5102,                 1.2454,                 1.7799,             0.00043325,             0.00043325,             0.00043325
                     68,                0.98656,                0.80881,                  1.319,                0.60072,                0.38852,                0.44224,                0.23244,                 1.5099,                 1.1925,                 1.7875,             0.00042087,             0.00042087,             0.00042087
                     69,                0.97709,                0.78431,                 1.3117,                0.47033,                0.45897,                0.43189,                0.23214,                 1.5366,                 1.2446,                 1.8264,              0.0004085,              0.0004085,              0.0004085
                     70,                0.97719,                0.78198,                 1.3044,                0.63093,                 0.3764,                0.42397,                0.23702,                  1.515,                 1.1965,                  1.772,             0.00039613,             0.00039613,             0.00039613
                     71,                0.95859,                0.78733,                 1.3008,                0.53555,                0.41272,                0.45714,                 0.2482,                  1.515,                 1.2375,                 1.7928,             0.00038375,             0.00038375,             0.00038375
                     72,                0.95593,                0.76353,                 1.2987,                0.65703,                0.38931,                0.43182,                0.24846,                 1.4856,                 1.1781,                 1.7738,             0.00037138,             0.00037138,             0.00037138
                     73,                0.94686,                 0.7677,                 1.2925,                0.46493,                0.43781,                0.42118,                0.23077,                 1.5117,                 1.2112,                 1.7903,               0.000359,               0.000359,               0.000359
                     74,                0.92458,                0.75031,                 1.2751,                0.60576,                0.38328,                0.43783,                0.22946,                 1.5686,                 1.2244,                 1.8493,             0.00034663,             0.00034663,             0.00034663
                     75,                0.94479,                 0.7476,                 1.2744,                0.39591,                0.53648,                0.43195,                 0.2374,                  1.535,                 1.2612,                 1.7977,             0.00033425,             0.00033425,             0.00033425
                     76,                0.91962,                0.73036,                 1.2724,                0.47439,                0.55705,                0.47116,                0.23364,                 1.5268,                  1.213,                 1.7867,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.9149,                0.72296,                 1.2606,                0.46919,                0.41916,                0.43327,                0.22864,                 1.5427,                  1.233,                 1.8363,              0.0003095,              0.0003095,              0.0003095
